Probenahmestelle;Fluss;Matrix;Gruppe;Kenngroessen;Probenahmeart;Jahr;Periode;Datum;Sonderzeichen;Wert
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;1;11.01.1979;;255
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;2;24.01.1979;;237
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;3;09.02.1979;;376
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;4;28.02.1979;;400
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;5;11.03.1979;;312
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;6;22.03.1979;;472
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;7;07.04.1979;;394
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;8;19.04.1979;;410
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;9;02.05.1979;;467
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;10;15.05.1979;;469
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;11;02.06.1979;;595
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;12;17.06.1979;;797
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;13;01.07.1979;;880
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;14;09.07.1979;;660
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;15;28.07.1979;;534
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;16;06.08.1979;;460
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;17;28.08.1979;;450
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;18;08.09.1979;;439
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;19;18.09.1979;;376
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;20;03.10.1979;;452
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;21;17.10.1979;;396
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;22;29.10.1979;;379
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;23;18.11.1979;;559
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;24;30.11.1979;;492
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;25;13.12.1979;;446
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1979;26;28.12.1979;;486
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;1;29.12.1980;;296
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;2;12.01.1981;;303
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;3;26.01.1981;;277
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;4;09.02.1981;;312
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;5;23.02.1981;;282
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;6;09.03.1981;;522
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;7;23.03.1981;;556
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;8;06.04.1981;;581
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;9;20.04.1981;;501
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;10;04.05.1981;;457
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;11;18.05.1981;;487
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;12;01.06.1981;;571
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;13;15.06.1981;;577
REKINGEN;RHEIN;W;Allgemeine Messgrößen;Abfluss am Tag der Einzelprobenahme in m³/s;K14;1981;14;29.06.1981;;511
